timestamp,tool_id,wafer_id,step,svid,value
2025-06-28 23:29:25,LITHO01,WFR00051,ETCH,SVID_001,103.24
2025-06-28 23:29:25,LITHO01,WFR00051,ETCH,SVID_002,107.62
2025-06-28 23:29:25,LITHO01,WFR00051,ETCH,SVID_003,98.83
2025-06-28 23:29:25,LITHO01,WFR00051,ETCH,SVID_004,98.83
2025-06-28 23:29:25,LITHO01,WFR00051,ETCH,SVID_005,107.9
2025-06-28 23:47:42,ETCH02,WFR00052,PHOTO,SVID_001,103.84
2025-06-28 23:47:42,ETCH02,WFR00052,PHOTO,SVID_002,97.65
2025-06-28 23:47:42,ETCH02,WFR00052,PHOTO,SVID_003,102.71
2025-06-28 23:47:42,ETCH02,WFR00052,PHOTO,SVID_004,97.68
2025-06-28 23:47:42,ETCH02,WFR00052,PHOTO,SVID_005,97.67
2025-06-28 23:20:18,ETCH02,WFR00021,ETCH,SVID_001,100.11
2025-06-28 23:20:18,ETCH02,WFR00021,ETCH,SVID_002,97.86
2025-06-28 23:20:18,ETCH02,WFR00021,ETCH,SVID_003,97.34
2025-06-28 23:20:18,ETCH02,WFR00021,ETCH,SVID_004,99.41
2025-06-28 23:20:18,ETCH02,WFR00021,ETCH,SVID_005,101.11
2025-06-29 00:01:13,LITHO01,WFR00063,ETCH,SVID_001,96.16
2025-06-29 00:01:13,LITHO01,WFR00063,ETCH,SVID_002,102.09
2025-06-29 00:01:13,LITHO01,WFR00063,ETCH,SVID_003,104.16
2025-06-29 00:01:13,LITHO01,WFR00063,ETCH,SVID_004,98.53
2025-06-29 00:01:13,LITHO01,WFR00063,ETCH,SVID_005,99.85
2025-06-28 23:11:52,ETCH01,WFR00059,PHOTO,SVID_001,99.3
2025-06-28 23:11:52,ETCH01,WFR00059,PHOTO,SVID_002,99.83
2025-06-28 23:11:52,ETCH01,WFR00059,PHOTO,SVID_003,96.25
2025-06-28 23:11:52,ETCH01,WFR00059,PHOTO,SVID_004,96.11
2025-06-28 23:11:52,ETCH01,WFR00059,PHOTO,SVID_005,104.74
2025-06-29 00:00:23,LITHO01,WFR00034,PHOTO,SVID_001,107.9
2025-06-29 00:00:23,LITHO01,WFR00034,PHOTO,SVID_002,104.11
2025-06-29 00:00:23,LITHO01,WFR00034,PHOTO,SVID_003,93.9
2025-06-29 00:00:23,LITHO01,WFR00034,PHOTO,SVID_004,101.04
2025-06-29 00:00:23,LITHO01,WFR00034,PHOTO,SVID_005,90.2
2025-06-28 23:32:51,ETCH02,WFR00003,PHOTO,SVID_001,103.69
2025-06-28 23:32:51,ETCH02,WFR00003,PHOTO,SVID_002,100.86
2025-06-28 23:32:51,ETCH02,WFR00003,PHOTO,SVID_003,99.42
2025-06-28 23:32:51,ETCH02,WFR00003,PHOTO,SVID_004,98.49
2025-06-28 23:32:51,ETCH02,WFR00003,PHOTO,SVID_005,92.61
2025-06-28 23:45:35,ETCH01,WFR00023,PHOTO,SVID_001,96.4
2025-06-28 23:45:35,ETCH01,WFR00023,PHOTO,SVID_002,101.72
2025-06-28 23:45:35,ETCH01,WFR00023,PHOTO,SVID_003,91.18
2025-06-28 23:45:35,ETCH01,WFR00023,PHOTO,SVID_004,101.62
2025-06-28 23:45:35,ETCH01,WFR00023,PHOTO,SVID_005,98.07
2025-06-28 23:50:39,ETCH01,WFR00088,CLEAN,SVID_001,96.62
2025-06-28 23:50:39,ETCH01,WFR00088,CLEAN,SVID_002,103.06
2025-06-28 23:50:39,ETCH01,WFR00088,CLEAN,SVID_003,105.15
2025-06-28 23:50:39,ETCH01,WFR00088,CLEAN,SVID_004,104.66
2025-06-28 23:50:39,ETCH01,WFR00088,CLEAN,SVID_005,95.8
2025-06-28 23:20:50,LITHO01,WFR00072,MEASURE,SVID_001,98.45
2025-06-28 23:20:50,LITHO01,WFR00072,MEASURE,SVID_002,97.6
2025-06-28 23:20:50,LITHO01,WFR00072,MEASURE,SVID_003,99.07
2025-06-28 23:20:50,LITHO01,WFR00072,MEASURE,SVID_004,94.47
2025-06-28 23:20:50,LITHO01,WFR00072,MEASURE,SVID_005,94.02
2025-06-28 23:54:04,LITHO01,WFR00043,MEASURE,SVID_001,99.64
2025-06-28 23:54:04,LITHO01,WFR00043,MEASURE,SVID_002,105.02
2025-06-28 23:54:04,LITHO01,WFR00043,MEASURE,SVID_003,101.81
2025-06-28 23:54:04,LITHO01,WFR00043,MEASURE,SVID_004,96.77
2025-06-28 23:54:04,LITHO01,WFR00043,MEASURE,SVID_005,101.81
2025-06-28 23:55:13,LITHO01,WFR00013,CLEAN,SVID_001,107.69
2025-06-28 23:55:13,LITHO01,WFR00013,CLEAN,SVID_002,86.9
2025-06-28 23:55:13,LITHO01,WFR00013,CLEAN,SVID_003,104.11
2025-06-28 23:55:13,LITHO01,WFR00013,CLEAN,SVID_004,100.44
2025-06-28 23:55:13,LITHO01,WFR00013,CLEAN,SVID_005,98.5
2025-06-28 23:37:08,ETCH01,WFR00095,MEASURE,SVID_001,101.49
2025-06-28 23:37:08,ETCH01,WFR00095,MEASURE,SVID_002,94.86
2025-06-28 23:37:08,ETCH01,WFR00095,MEASURE,SVID_003,92.91
2025-06-28 23:37:08,ETCH01,WFR00095,MEASURE,SVID_004,100.95
2025-06-28 23:37:08,ETCH01,WFR00095,MEASURE,SVID_005,100.68
2025-06-28 23:51:36,LITHO01,WFR00085,MEASURE,SVID_001,103.04
2025-06-28 23:51:36,LITHO01,WFR00085,MEASURE,SVID_002,92.67
2025-06-28 23:51:36,LITHO01,WFR00085,MEASURE,SVID_003,104.46
2025-06-28 23:51:36,LITHO01,WFR00085,MEASURE,SVID_004,99.47
2025-06-28 23:51:36,LITHO01,WFR00085,MEASURE,SVID_005,95.22
2025-06-28 23:35:34,ETCH02,WFR00061,CLEAN,SVID_001,96.49
2025-06-28 23:35:34,ETCH02,WFR00061,CLEAN,SVID_002,98.36
2025-06-28 23:35:34,ETCH02,WFR00061,CLEAN,SVID_003,98.04
2025-06-28 23:35:34,ETCH02,WFR00061,CLEAN,SVID_004,92.68
2025-06-28 23:35:34,ETCH02,WFR00061,CLEAN,SVID_005,101.48
2025-06-28 23:31:45,LITHO01,WFR00069,MEASURE,SVID_001,101.31
2025-06-28 23:31:45,LITHO01,WFR00069,MEASURE,SVID_002,92.92
2025-06-28 23:31:45,LITHO01,WFR00069,MEASURE,SVID_003,97.9
2025-06-28 23:31:45,LITHO01,WFR00069,MEASURE,SVID_004,98.29
2025-06-28 23:31:45,LITHO01,WFR00069,MEASURE,SVID_005,95.99
2025-06-28 23:35:02,LITHO01,WFR00058,PHOTO,SVID_001,89.54
2025-06-28 23:35:02,LITHO01,WFR00058,PHOTO,SVID_002,106.32
2025-06-28 23:35:02,LITHO01,WFR00058,PHOTO,SVID_003,99.92
