Temp,Pressure,RF_Power,Gas_Flow,Etch_Time,Tool_ID,target_cd
122.4835708,0.346308877,277.9871087,48.89180538,53.24821725,1,44.23341844
119.3086785,0.395470832,268.4926737,42.24407142,58.55481329,3,46.07598431
123.2384427,0.230071621,251.1926074,40.90900558,52.07580079,3,43.9237777
127.6151493,0.328148462,237.0612644,44.98312771,56.9203847,3,45.66321419
118.8292331,0.267467872,263.9644663,44.14907689,41.06385333,1,43.38625207
118.8293152,0.275643731,257.8697077,42.73385975,62.13293707,1,42.01369737
127.8960641,0.270380304,267.9038644,48.48193724,60.01205475,3,51.38422514
123.8371736,0.256800462,262.703436,49.77652604,51.82911369,2,45.94205517
117.6526281,0.302426081,270.9910543,45.44203443,66.59245668,3,43.38054232
122.7128002,0.258452494,239.2952958,52.38765041,69.37570138,1,41.88395943
117.6829115,0.313522841,276.3478813,39.29155443,43.92440136,1,45.87009593
117.6713512,0.297488095,253.9519921,44.0317027,52.37275221,3,47.42032624
121.2098114,0.288052598,291.5052175,41.4158884,52.3085765,3,44.8106041
110.4335988,0.254621817,236.2162436,35.66731691,50.60096899,3,43.09297023
111.3754108,0.271161433,284.7192761,44.58659657,68.29474842,1,44.16549215
117.1885624,0.337769561,253.9582157,44.39126246,58.06173861,1,46.6941379
114.9358444,0.325045859,236.9716399,52.56724872,57.35485159,3,43.65243994
121.5712367,0.251122238,240.3222833,48.15405842,39.96137636,2,37.72924366
115.4598796,0.304966615,243.5930538,39.87906588,66.3541803,3,44.08924188
112.9384815,0.337569356,258.4833189,54.27046283,47.60741605,1,43.84892793
127.3282438,0.216529736,260.4567098,51.10516848,60.5993263,1,46.55068459
118.8711185,0.32716801,238.5259999,47.91048852,62.77376938,3,50.50735664
120.337641,0.266868812,249.5129082,43.86757951,73.60658596,3,45.32353672
112.8762591,0.328529933,292.8454072,40.20280382,46.91179601,3,45.52684136
117.2780864,0.261837042,284.5508634,43.13896612,29.80487844,1,44.9738613
120.5546129,0.209755895,258.7264734,50.4437431,61.83849545,1,45.576855
114.2450321,0.218622878,250.7600696,54.42293153,78.00511182,3,46.03061287
121.8784901,0.302404247,252.4006265,52.71621764,72.38946353,2,46.66291991
116.9968066,0.312986125,262.2703595,42.55575289,62.09659415,3,48.60328044
118.5415313,0.254784169,229.5441487,39.40191283,55.08363814,1,42.77266414
116.9914669,0.331929623,244.8524693,45.70443123,68.07122597,1,43.4589368
129.2613909,0.216923997,216.6283185,36.15780317,50.264538,3,42.48898933
119.9325139,0.29669601,257.9844625,46.61583857,64.76357769,3,46.56453401
114.7114454,0.23944919,262.9439188,44.26198707,65.05470159,3,42.18033294
124.1127246,0.267408195,240.3362708,42.66981749,70.60209907,1,44.22425059
113.8957818,0.302369934,281.4797353,37.02648466,87.59660039,1,44.85669267
121.044318,0.256979332,225.4846867,47.56800053,63.92415967,3,46.60908424
110.2016494,0.280772223,220.7125024,42.3364958,54.91036374,2,47.00737266
113.3590698,0.35031464,254.4890364,39.15041582,59.74425688,3,41.54583268
120.9843062,0.271155407,270.9419661,30.63868893,42.30924095,1,44.90325694
123.6923329,0.341784606,283.6785538,44.86242547,53.05286869,1,44.19105646
120.8568414,0.243514657,240.8223147,53.86125798,55.90717562,3,42.63996314
119.4217586,0.326490209,271.5736167,53.30629607,54.75911602,3,43.97943463
118.4944815,0.372078431,249.2298306,42.71451872,61.52354872,3,44.60725083
112.60739,0.176417775,246.547454,41.9889397,51.77580068,1,50.56804276
116.400779,0.260155237,267.6731987,47.34387128,71.21030667,1,43.81597837
117.6968061,0.328853606,263.0464576,40.0080728,60.00207065,3,43.40383906
125.2856111,0.289847731,218.4721569,46.5089595,59.90699679,2,43.53419725
121.7180914,0.318557294,279.530807,48.83040139,56.72105283,3,47.46825652
111.1847992,0.269800741,277.6018271,51.13466612,61.55190684,1,50.37413247
121.6204198,0.304329489,237.488746,44.49922962,68.25098265,1,40.45635968
118.0745886,0.292216138,257.9160707,43.98163125,51.32869784,3,40.53071023
116.61539,0.358389103,259.8806037,40.61008707,53.41883511,3,48.45338165
123.0583814,0.312721042,255.2134753,40.86559823,56.96273971,3,44.99547483
125.1549976,0.316880133,238.9938969,43.86760554,46.54129077,1,44.99835111
124.6564006,0.279406152,236.5675326,46.83682753,51.8074214,1,45.21248608
115.8039124,0.275619689,249.4889186,49.56792313,55.23779126,3,39.17295774
118.4539381,0.278372091,273.4545804,40.98410525,68.74389181,2,45.21114004
121.6563172,0.319722607,260.8720031,52.46344284,62.62561329,3,44.45349282
124.8777256,0.278950776,242.5877134,43.64438199,61.93589911,1,46.45285957
117.6041288,0.314488743,265.4339742,44.89316353,68.50897962,1,43.28966136
119.0717051,0.40377004,193.0291476,41.2639416,58.62628212,3,44.83851392
114.4683251,0.343556235,272.975314,32.8787987,63.9046485,3,43.05576389
114.0189669,0.283698823,215.2057244,49.42022698,58.96778247,3,44.9814354
124.0626291,0.360060696,242.7511812,48.68421949,62.65362349,1,41.69483705
126.7812001,0.279596231,227.6066021,43.59336221,54.17241342,1,44.50539153
119.6399494,0.198093773,224.1063705,45.33495359,35.61182842,3,44.76330228
125.0176645,0.249595684,273.2165357,47.57969609,58.65720838,2,46.32067411
121.8081801,0.206460404,240.645976,37.18727072,74.22748136,3,46.94216635
116.7744012,0.282424326,256.9300776,42.35473661,69.26215402,1,45.22348162
121.806978,0.300920919,249.0615884,48.9713234,69.65397485,1,43.80714549
127.6901828,0.383821866,259.5408165,38.72855288,72.36130722,3,43.80533183
119.8208698,0.316346369,251.5364378,46.46778966,60.88657591,3,44.6029755
127.8232183,0.289044974,224.3401555,38.21709098,61.97315707,3,46.53144767
106.9012745,0.341470279,269.9253364,47.33214991,53.82348105,1,49.50855319
